,Sq_Ft_Tot_Living,Sq_Ft_Lot,Bathroom_count,Bedroom_count,Bldg_Grade,House_Sale_Price
296,1880,45738,1.75,3,8,553124.0
297,2450,52648,3.0,4,8,686149.0
298,1130,6500,1.0,3,6,382038.0
299,2180,4500,2.75,4,7,301716.0
300,1570,4774,2.5,3,7,297944.0
301,2020,5000,2.5,4,7,286726.0
302,1110,8000,2.0,2,7,317267.0
303,1620,9450,2.25,3,7,288176.0
304,1690,14746,1.0,2,6,314434.0
305,2450,7667,4.0,4,7,235345.0
306,1540,2775,1.0,2,6,366972.0
307,2000,2500,2.5,2,8,644400.0
308,1970,6000,1.75,3,8,616996.0
309,1970,6000,1.75,3,8,671990.0
310,1680,6435,2.0,4,6,826554.0
311,2100,4440,2.5,3,7,809863.0
312,2600,6050,2.75,4,8,782239.0
313,2620,4844,1.5,3,8,662588.0
314,3090,8239,3.75,4,9,914738.0
315,2440,7042,2.75,4,7,813115.0
316,2790,4296,2.5,3,9,899900.0
317,2580,7900,3.0,3,9,754264.0
318,2340,4800,2.75,3,8,814289.0
319,3070,4440,3.5,4,9,1034548.0
320,2110,4718,2.75,3,7,903860.0
321,2380,1838,3.25,3,10,1098056.0
322,2970,13345,3.5,4,10,1239648.0
323,2850,4497,2.0,4,7,729907.0
324,3020,9244,3.25,4,10,843823.0
325,1700,6342,1.75,3,6,364001.0
326,1240,10500,1.0,2,7,420152.0
327,2780,7875,3.25,4,9,314754.0
328,2780,7875,3.25,4,9,760048.0
329,980,7228,1.0,3,7,352259.0
330,1440,7980,2.5,3,7,449620.0
331,2080,7350,2.25,3,7,523492.0
332,860,9167,1.0,1,6,451988.0
333,2950,4382,3.25,4,9,856462.0
334,1370,1363,2.25,3,8,359669.0
335,2620,7632,2.5,3,9,730754.0
336,1240,9375,1.5,3,7,330964.0
337,1570,8304,1.0,4,7,346922.0
338,1190,3000,2.5,3,7,337090.0
339,840,3000,1.0,3,5,156905.0
340,2640,7000,3.0,5,7,289603.0
341,2520,4500,2.5,3,8,384584.0
342,2480,4500,2.5,4,8,400414.0
343,1810,17700,1.0,3,6,296414.0
344,1880,7500,2.0,4,6,301575.0
345,1880,7500,2.0,4,6,220776.0
346,2330,7043,2.5,3,8,571604.0
347,2600,9525,2.5,4,8,954916.0
348,2250,10160,2.5,4,9,952747.0
349,2790,10125,3.5,4,8,881341.0
350,2790,10125,3.5,4,8,843908.0
351,1920,9525,2.25,5,8,669774.0
352,2910,9525,2.75,4,8,864609.0
353,2910,10125,2.75,4,8,938451.0
354,3160,9525,3.75,4,10,1251497.0
355,3160,9525,3.75,4,10,1438271.0
356,1910,9525,2.75,3,7,733599.0
357,3570,9525,3.5,4,10,1644242.0
358,2250,9525,2.25,4,8,866095.0
359,2160,11430,2.5,3,8,1113360.0
360,1510,14276,0.75,4,8,456064.0
361,1140,20383,1.5,3,7,355732.0
362,1100,15258,1.5,3,7,345795.0
363,1960,15200,1.0,3,7,412209.0
364,1140,18678,1.0,3,7,362583.0
365,1738,2796,2.5,4,7,269294.0
366,1430,15611,1.5,3,6,282402.0
367,2070,25710,2.5,3,6,193910.0
368,1240,10887,1.75,3,6,298976.0
369,1240,10956,1.75,3,6,292443.0
370,1470,9680,1.75,3,8,283279.0
371,1170,8740,1.75,3,7,432497.0
372,2710,3245,2.5,4,8,681736.0
373,1580,5750,1.75,3,7,498001.0
374,970,3393,1.0,2,6,487051.0
375,2370,5850,2.75,4,7,633957.0
376,1940,6440,2.0,3,7,608073.0
377,1340,5800,1.0,4,7,491066.0
378,2240,5850,2.25,5,8,800589.0
379,1390,4292,1.0,2,6,387464.0
380,2170,7202,2.5,4,8,518725.0
381,2930,5569,2.75,3,9,575794.0
382,2930,5569,2.75,3,9,622097.0
383,1930,6346,2.5,3,9,568598.0
384,2340,8111,2.5,3,9,602770.0
385,2320,12627,2.0,3,9,795763.0
386,2360,7440,2.5,4,9,578577.0
387,2050,9586,2.25,4,8,604883.0
388,1960,8469,2.5,3,8,544310.0
389,1640,10377,2.25,3,7,613412.0
390,2390,10700,2.5,3,7,785965.0
391,1900,11216,2.5,3,10,1109947.0
392,1660,18009,1.75,3,7,453333.0
393,2780,20794,2.75,4,7,493922.0
394,1640,17335,1.0,2,7,390687.0
395,1640,17335,1.0,2,7,353114.0
396,3270,21270,2.5,4,9,744581.0
397,2440,47916,2.25,3,8,555778.0
398,2439,23435,2.5,3,8,573918.0
399,1540,54450,2.0,2,7,169558.0
400,2190,38307,2.5,3,9,620120.0
401,2150,31238,2.75,3,9,688569.0
402,2650,47081,2.5,4,9,584813.0
403,3130,40105,2.5,4,9,723324.0
404,2970,31774,3.0,4,9,701698.0
405,3060,43703,3.5,5,9,644819.0
406,2690,32780,2.5,4,9,647619.0
407,2840,34203,2.5,4,9,762506.0
408,2770,63118,2.5,4,9,742449.0
409,2120,15297,2.5,3,7,482111.0
410,1130,9879,2.0,3,6,378340.0
411,1130,9879,2.0,3,6,323015.0
412,1680,8946,2.0,3,6,382726.0
413,2450,55387,2.5,4,9,552495.0
414,1930,24904,2.5,3,9,619390.0
415,2980,24703,2.5,4,9,743638.0
416,2330,33881,2.5,3,9,660591.0
417,2320,32772,2.5,3,9,668396.0
418,2470,33305,2.5,4,9,668491.0
419,2470,33305,2.5,4,9,687288.0
420,2650,21546,2.5,3,9,612857.0
421,2930,42060,2.5,3,9,793967.0
422,2290,62290,2.5,3,9,728055.0
423,3410,6006,3.25,3,10,1707922.0
424,2260,4087,2.75,4,8,517412.0
425,2430,6099,2.5,4,8,645697.0
426,1590,8546,1.75,3,8,400095.0
427,2180,8250,2.5,4,7,486125.0
428,1610,9600,1.75,3,8,415956.0
429,1610,9600,1.75,3,8,453333.0
430,2480,7480,2.0,3,8,1027521.0
431,2488,31500,2.0,3,8,236829.0
432,2120,22482,2.5,3,7,361449.0
433,2400,15069,2.5,4,8,434531.0
434,2030,99316,1.75,3,7,555882.0
435,3560,102366,3.5,4,9,806156.0
436,1920,207781,1.5,3,7,496387.0
437,1090,409464,1.5,3,6,536232.0
438,2250,60548,3.25,3,9,689067.0
439,1880,40755,1.0,3,7,261608.0
440,2680,28525,1.75,3,8,1762555.0
441,3780,5026,3.5,4,9,889437.0
442,2180,5238,2.25,4,7,547585.0
443,2040,9478,2.5,4,7,432355.0
444,1976,11504,2.0,4,7,460501.0
445,1380,7182,1.0,3,7,381265.0
446,1420,5000,2.0,4,7,283182.0
447,1450,8040,1.75,3,7,127077.0
448,1400,10614,2.75,3,7,439042.0
449,2140,6490,2.75,4,8,401595.0
450,4940,43560,4.25,4,10,1051834.0
451,1860,42800,2.0,3,7,551521.0
452,1530,6450,1.0,2,7,645697.0
453,720,4000,1.0,2,6,391801.0
454,1280,5018,1.75,2,7,541168.0
455,1850,6450,2.5,4,8,743754.0
456,2450,4591,3.0,5,7,447365.0
457,4410,70844,3.5,4,10,1212886.0
458,960,7104,1.5,3,7,422598.0
459,3370,10973,3.5,4,8,572208.0
460,2610,11287,2.0,5,8,521793.0
461,2560,10464,1.75,3,8,561731.0
462,2420,10500,1.75,4,8,511857.0
463,2630,7140,2.5,4,8,791769.0
464,3210,8520,3.75,4,7,643754.0
465,1630,7906,2.0,3,7,412863.0
466,2680,8363,2.5,3,9,688960.0
467,2980,7630,2.5,3,9,785596.0
468,960,6377,1.0,2,7,285255.0
469,2100,24583,2.5,3,8,487712.0
470,3140,74052,3.0,3,8,835094.0
471,1820,77972,3.0,4,8,559874.0
472,2870,36649,3.25,4,9,749351.0
473,3650,23659,2.5,4,10,932334.0
474,3490,16028,3.0,4,10,626275.0
475,2900,5336,1.75,5,8,402750.0
476,1290,8800,1.5,3,7,297051.0
477,1650,8850,1.75,3,7,325105.0
478,2890,21780,2.5,3,8,510570.0
479,1514,16475,1.5,1,6,302757.0
480,4060,10800,4.5,4,10,751703.0
481,1520,7350,1.75,4,7,311554.0
482,2120,9842,1.75,4,7,391691.0
483,2740,5400,2.5,5,8,383590.0
484,2580,5460,2.5,4,8,450018.0
485,2510,8775,1.75,4,7,421714.0
486,1560,8450,1.75,4,7,335738.0
487,2080,7800,1.75,3,7,444749.0
488,2310,7589,2.5,3,9,846026.0
489,1300,8400,1.0,4,7,704518.0
490,3750,8266,3.75,5,10,603271.0
491,1140,9137,1.0,2,7,711901.0
492,2780,8913,2.75,5,8,1110977.0
493,4990,10196,3.75,4,11,635174.0
494,1100,8724,1.0,2,7,703232.0
495,2350,10352,1.75,5,7,754973.0
496,1890,11391,2.0,4,7,492781.0
497,1980,8260,2.25,3,7,825671.0
498,1350,9293,1.75,4,7,598231.0
499,1350,9293,1.75,4,7,751727.0
500,2490,41159,2.0,4,7,747827.0
501,2340,7254,2.5,4,8,501787.0
502,2950,8440,2.5,4,8,398230.0
503,2510,12013,2.25,3,8,416306.0
504,2510,12013,2.25,3,8,243582.0
505,2070,7800,2.5,4,8,398689.0
506,3080,19934,3.0,4,10,1306054.0
507,2710,20185,2.75,4,9,1811231.0
508,6080,20168,5.0,5,12,3100598.0
509,1920,18928,1.5,3,7,368346.0
510,2470,12994,3.25,4,8,443563.0
511,2450,17400,2.25,3,8,486914.0
512,1530,10350,2.5,4,7,298954.0
513,1860,4025,2.5,4,7,416358.0
514,1860,3914,2.5,3,7,419295.0
515,1880,6032,1.75,3,6,396235.0
516,2870,5453,2.25,4,8,700709.0
517,2870,5453,2.25,4,8,600347.0
518,1770,6293,2.0,2,6,437655.0
519,2510,5297,2.5,4,9,382427.0
520,2940,5054,4.75,6,7,634645.0
521,2380,6026,1.75,3,7,491871.0
522,1990,12866,2.5,3,7,494261.0
523,1850,7154,2.25,3,7,475290.0
524,2210,3600,2.5,4,7,358719.0
525,1990,3644,2.5,3,7,368592.0
526,3840,7748,3.25,4,9,878929.0
527,3750,9437,2.75,3,9,883516.0
528,3360,7061,2.75,4,9,581968.0
529,3340,8213,2.75,4,9,547193.0
530,2830,9972,2.5,3,9,580171.0
531,4040,8653,2.5,3,9,552480.0
532,4040,8653,2.5,3,9,617348.0
533,3440,9443,2.5,4,9,527135.0
534,2090,3002,3.25,4,7,402294.0
535,2100,3574,2.5,3,7,380556.0
536,1570,2577,2.5,3,7,323495.0
537,1140,7078,1.75,3,6,280535.0
538,2120,31564,1.0,3,7,382257.0
539,2120,31564,1.0,3,7,210547.0
540,1420,24690,1.75,3,6,244183.0
541,2480,9699,2.75,9,6,442754.0
542,1820,8422,1.5,3,7,253809.0
543,1760,9727,1.75,3,6,291373.0
544,1130,13927,0.75,3,6,241108.0
545,2090,8428,2.5,3,8,444209.0
546,2240,8200,2.5,4,8,608179.0
547,2220,7700,2.25,4,8,407936.0
548,1250,9605,1.75,3,7,458817.0
549,2720,9605,2.75,4,7,625404.0
550,2330,9605,2.0,6,7,567608.0
551,1460,7210,2.5,3,7,272694.0
552,1250,7210,1.0,3,7,361444.0
553,1460,8075,1.75,3,7,458635.0
554,1470,10291,2.0,4,7,443928.0
555,1220,7432,1.75,3,7,439938.0
556,1220,7370,1.75,3,7,501152.0
557,1730,7700,2.5,4,7,629480.0
558,1460,8141,1.75,3,7,483556.0
559,1650,8250,1.0,4,7,487119.0
560,1560,7272,1.0,3,7,462979.0
561,2130,7210,2.25,4,7,613440.0
562,1460,10546,2.0,4,7,438378.0
563,1250,8004,1.5,3,7,471970.0
564,1250,8004,1.5,3,7,465263.0
565,1250,9240,1.75,3,7,440992.0
566,1010,8034,1.0,2,7,423705.0
567,1310,7107,1.75,3,7,481621.0
568,2300,3840,2.75,4,8,710390.0
569,2170,3840,2.5,3,8,627197.0
570,1540,1607,2.25,3,8,377590.0
571,1160,8808,1.0,3,7,386173.0
572,1020,8131,1.0,1,5,377132.0
573,1950,8100,2.5,4,8,587294.0
574,1020,8100,1.0,2,7,430317.0
575,1850,6000,1.75,2,6,351475.0
576,1540,9450,1.75,3,6,416160.0
577,860,8100,1.0,2,5,340511.0
578,2070,12000,2.5,5,7,666611.0
579,3080,7296,2.5,3,9,901687.0
580,3960,6654,3.5,4,10,1816004.0
581,3640,5880,3.5,4,10,1739981.0
582,2960,7680,2.25,5,8,836508.0
583,2030,6400,1.5,4,8,607444.0
584,2220,6641,2.0,3,7,848924.0
585,1920,4080,2.0,3,7,836505.0
586,4660,7680,3.25,4,9,629508.0
587,3240,11415,2.75,3,9,1271406.0
588,2010,7680,1.75,5,8,693895.0
589,4630,7680,3.5,4,9,1643777.0
590,2970,7040,2.5,3,9,1165143.0
591,2970,7040,2.5,3,9,1417688.0
592,1020,12540,1.0,3,7,277476.0
593,1870,7000,2.0,4,7,319216.0
594,1510,3495,2.0,3,7,381104.0
595,1310,2996,1.5,3,7,402449.0
596,900,2728,1.0,2,7,315991.0
597,900,2837,1.0,2,7,283650.0
598,1580,4000,2.0,3,7,628822.0
599,2700,7500,2.5,4,7,394352.0
600,1600,9072,1.5,3,7,316771.0
601,1940,7500,1.75,4,7,352511.0
602,2950,4892,3.5,4,9,1488254.0
603,1220,2790,1.5,2,8,587536.0
604,4280,12758,3.5,4,11,1485582.0
605,3190,12283,2.25,4,9,656486.0
606,3300,15673,2.75,4,8,574773.0
607,3110,21960,3.25,4,10,1610934.0
608,2690,10020,2.5,3,8,854530.0
609,2120,7888,2.75,4,8,639270.0
610,2010,8484,1.75,3,8,820742.0
611,3720,15130,2.5,2,9,759391.0
612,2200,10729,1.75,3,8,760048.0
613,2400,4552,2.5,3,8,599729.0
614,2800,5368,2.5,4,8,729108.0
615,2280,7344,2.5,4,8,575382.0
616,2170,6200,2.5,4,8,589003.0
617,1445,1471,2.25,3,7,455341.0
618,1445,1498,2.25,3,7,425084.0
619,1090,964,2.5,2,7,349482.0
620,1090,984,2.5,2,7,351616.0
621,1600,2201,2.5,3,7,466482.0
622,1445,1435,2.25,3,7,408129.0
623,1090,923,2.5,2,7,376800.0
624,1445,1452,2.25,3,7,396549.0
625,1090,1037,2.5,2,7,367161.0
626,1090,1037,2.5,2,7,385834.0
627,1090,1068,2.5,2,7,364661.0
628,1410,1264,2.25,3,7,409883.0
629,1410,1264,2.25,3,7,377711.0
630,1490,1111,2.5,3,7,402425.0
631,1530,1708,2.5,3,7,462739.0
632,810,6572,1.0,2,7,401111.0
633,1640,7437,1.75,3,7,586802.0
634,1840,6383,1.75,4,7,498654.0
635,2270,7627,1.75,4,7,527976.0
636,2270,7627,1.75,4,7,525725.0
637,2900,5803,2.75,4,9,657747.0
638,2950,5803,2.75,4,9,680000.0
639,2950,5803,2.75,4,9,646226.0
640,2900,5803,2.75,4,9,640784.0
641,3390,8060,2.5,4,10,898595.0
642,3390,8060,2.5,4,10,883962.0
643,3160,7257,2.5,4,10,823786.0
644,3160,7257,2.5,4,10,831205.0
645,3510,6745,2.5,4,10,842155.0
646,1750,3653,2.5,3,7,434548.0
647,2170,3653,2.5,3,7,457369.0
648,3380,9641,3.25,4,10,878525.0
649,4190,13494,3.5,4,10,1123634.0
650,6450,55088,4.25,4,11,1329060.0
651,4560,56236,3.5,5,10,993891.0
652,3230,48505,2.75,5,10,790089.0
653,3800,33385,2.5,3,10,915469.0
654,3430,42775,2.5,4,10,888681.0
655,3190,7828,2.5,3,9,557949.0
656,3190,7828,2.5,3,9,639469.0
657,2970,9155,2.5,4,9,561620.0
658,3190,7587,2.5,3,9,547308.0
